incident_id;created_at;closed_at;incident_type;severity;status;source_system;affected_asset;business_unit;assigned_analyst;resolution_time_minutes;sla_target_minutes;sla_breached;false_positive;escalated;attack_vector;ioc_count;subject;description
INC-20260537;2026-04-17 02:05;17.04.2026 02:50:00;anomalous_traffic;low;resolved;DLP;auth-gw-prod-01;Risk Department;Elena Kryllova;45;1440;no;no;no;insider;13;Нетипичный сетевой трафик;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260538;2026-05-09 09:43;2026-05-09T23:03:00+03:00;malware_detected;low;contained;DLP;db-risk-prod-02;ИТ эксплуатация;Елена Крылова;800;960;no;no;no;malware;13;Malware alert on workstation;Сработало правило корреляции. Актив db-risk-prod-02, подразделение ИТ эксплуатация. Требуется проверка ложного срабатывания.
INC-20260539;20.04.2026 08:18:00;;data_exfiltration;high;triage;DLP;srv-core-pay-01;Розничный бизнес;Sergey Unknown;;180;yes;no;no;phishing;3;Large outbound transfer detected;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260540;2026-04-13T09:05:00+03:00;;phishing_email;low;contained;DLP;cloud-vm-risk-eu-01;Риск-департамент;Мария Неизвестная;;1500;yes;no;no;malware;2;Mass phishing campaign detected;Alert triggered by DLP. Asset cloud-vm-risk-eu-01 generated 2 IOC events. Requires analyst validation.
INC-20260541;2026-04-30 01:30;2026-04-30 02:45;malware_detected;critical;resolved;IAM;cloud-vm-risk-eu-01;Комплаенс;Elena Kryllova;75;15;yes;no;yes;credential_theft;1;Подозрительный исполняемый файл на рабочей станции;Alert triggered by IAM. Asset cloud-vm-risk-eu-01 generated 1 IOC events. Requires analyst validation.
INC-20260542;2026-05-12T13:05:00+00:00;2026/05/12 19:35;ransomware_activity;medium;resolved;NDR;SRV-CORE-PAY-01;Операционный блок;;390;360;yes;no;no;insider;21;Массовое изменение файлов на сервере;Detected repeated activity on SRV-CORE-PAY-01. Business unit: Операционный блок. Similar pattern was observed earlier this week.
INC-20260543;2026-04-12 15:43;04/12/2026 05:53 PM;brute_force_attack;low;resolved;IAM;cloud-vm-risk-eu-01;Финансовый департамент;Мария Неизвестная;130;960;no;no;no;exploit;1;Repeated failed authentication;Сработало правило корреляции. Актив cloud-vm-risk-eu-01, подразделение Финансовый департамент. Требуется проверка ложного срабатывания.
INC-20260544;2026/05/11 15:05;2026-05-12 04:25;privilege_escalation;high;contained;IAM;172.20.10.15;Retail Banking;Elena Kryllova;800;60;yes;no;yes;insider;5;Назначение повышенных прав вне процесса;Potential incident from insider. Need correlation with IAM logs and endpoint telemetry.
INC-20260545;04/27/2026 03:18 PM;2026-04-28 04:38;malware_detected;medium;resolved;EDR;SRV-CORE-PAY-01;Finance;Elena Kryllova;800;240;yes;yes;no;brute_force;3;Malware alert on workstation;Detected repeated activity on SRV-CORE-PAY-01. Business unit: Finance. Similar pattern was observed earlier this week.
INC-20260546;2026-04-15 17:49;2026-04-16 07:09:00;data_exfiltration;high;contained;NDR;auth-gw-prod-01;Операционный блок;Sergey Unknown;800;120;yes;no;yes;insider;3;DLP detected possible data leak;Alert triggered by NDR. Asset auth-gw-prod-01 generated 3 IOC events. Requires analyst validation.
INC-20260547;2026-04-24 01:05;;phishing_email;low;investigating;DLP;ws-fin-1045;Розничный бизнес;Мария Неизвестная;;720;no;no;no;exploit;0;Фишинговое письмо с вложением;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260548;2026-04-11 01:05:00;;phishing_email;medium;new;SIEM;10.15.24.88;Финансовый департамент;Anna Smirnova;;999;no;no;no;credential_theft;2;User reported phishing email;Potential incident from credential_theft. Need correlation with IAM logs and endpoint telemetry.
INC-20260549;2026-05-09T02:55:00+00:00;2026-05-09 05:05:00;anomalous_traffic;low;resolved;SIEM;crm-app-01.bank.local;Operations;Иван Петров;130;720;no;no;no;exploit;1;Нетипичный сетевой трафик;Сработало правило корреляции. Актив crm-app-01.bank.local, подразделение Operations. Требуется проверка ложного срабатывания.
INC-20260550;2026-04-15T09:30:00+03:00;;privilege_escalation;high;resolved;DLP;auth-gw-prod-01;Operations;Dmitry Volkov;;180;yes;no;yes;exploit;3;Privilege escalation attempt;Alert triggered by DLP. Asset auth-gw-prod-01 generated 3 IOC events. Requires analyst validation.
INC-20260551;2026-04-14 21:43:00;;phishing_email;low;investigating;IAM;SRV-CORE-PAY-01;РИСК ДЕПАРТАМЕНТ;Ivan Petrov;;720;no;no;no;brute_force;21;User reported phishing email;Detected repeated activity on SRV-CORE-PAY-01. Business unit: РИСК ДЕПАРТАМЕНТ. Similar pattern was observed earlier this week.
INC-20260552;05.05.2026 17:55:00;05/05/2026 08:05 PM;data_exfiltration;high;resolved;IAM;cloud-vm-risk-eu-01;IT Operations;Анна Смирнова;130;60;yes;yes;yes;brute_force;5;Возможная выгрузка чувствительных данных;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260553;2026-04-10 17:43;2026/04/10 17:55;data_exfiltration;medium;contained;DLP;prd-k8s-node-07;Финансовый департамент;Elena Kryllova;12;360;no;no;no;insider;5;Large outbound transfer detected;Alert triggered by DLP. Asset prd-k8s-node-07 generated 5 IOC events. Requires analyst validation.
INC-20260554;05/10/2026 02:43 AM;2026-05-10T16:03:00+00:00;privilege_escalation;critical;resolved;IAM;172.20.10.15;Risk Department;;800;30;yes;no;no;insider;21;Unexpected admin privilege assignment;Сработало правило корреляции. Актив 172.20.10.15, подразделение Risk Department. Требуется проверка ложного срабатывания.
INC-20260555;2026/04/16 15:49;2026-04-16 22:19:00;ransomware_activity;medium;resolved;NDR;cloud-vm-risk-eu-01;Риск-департамент;Anna Smirnova;390;480;no;yes;no;insider;1;Potential ransomware behavior;Potential incident from insider. Need correlation with IAM logs and endpoint telemetry.
INC-20260556;2026-04-08T15:43:00+00:00;;ransomware_activity;low;new;DLP;mail-gw-02;Операционный блок;Ivan Petrov;;90;no;no;no;credential_theft;0;Suspicious file encryption pattern;Potential incident from credential_theft. Need correlation with IAM logs and endpoint telemetry.
INC-20260557;2026-05-11 22:30:00;2026-05-11 23:15;phishing_email;critical;resolved;DLP;dlp-sensor-msk-01;Розничный бизнес;Елена Крылова;45;30;yes;no;no;phishing;1;User reported phishing email;Alert triggered by DLP. Asset dlp-sensor-msk-01 generated 1 IOC events. Requires analyst validation.
INC-20260558;2026-04-25 13:05;2026-04-26T02:25:00+03:00;anomalous_traffic;critical;resolved;EDR;auth-gw-prod-01;Розничный бизнес;Dmitry Volkov;800;15;yes;no;yes;exploit;3;Нетипичный сетевой трафик;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260559;2026-04-10 09:05;;phishing_email;high;new;NDR;laptop-ivan.petrov;IT Operations;Elena Kryllova;;180;no;no;no;insider;21;User reported phishing email;Сработало правило корреляции. Актив laptop-ivan.petrov, подразделение IT Operations. Требуется проверка ложного срабатывания.
INC-20260560;2026-04-22T08:18:00+03:00;;anomalous_traffic;medium;investigating;IAM;laptop-ivan.petrov;Операционный блок;Elena Kryllova;;360;yes;no;no;brute_force;13;Anomalous outbound traffic spike;Potential incident from brute_force. Need correlation with IAM logs and endpoint telemetry.
INC-20260561;2026-04-11 00:55;04/11/2026 04:55 AM;anomalous_traffic;high;resolved;DLP;crm-app-01.bank.local;Retail Banking;;240;60;yes;no;yes;malware;34;NDR detected unusual network flow;Alert triggered by DLP. Asset crm-app-01.bank.local generated 34 IOC events. Requires analyst validation.
INC-20260562;2026-04-17 23:00;2026-04-19 01:40;phishing_email;medium;resolved;EDR;SRV-CORE-PAY-01;Operations;Dmitry Volkov;1600;360;yes;no;no;insider;21;Фишинговое письмо с вложением;Alert triggered by EDR. Asset SRV-CORE-PAY-01 generated 21 IOC events. Requires analyst validation.
INC-20260563;05/06/2026 10:18 PM;07.05.2026 11:38:00;suspicious_login;low;resolved;NDR;DB_RISK_PROD_02;Розничный бизнес;Иван Петров;800;720;yes;no;no;brute_force;0;Multiple suspicious login attempts;Potential incident from brute_force. Need correlation with IAM logs and endpoint telemetry.
INC-20260564;2026-04-16 21:18;2026/04/16 22:03;malware_detected;medium;resolved;NDR;crm-app-01.bank.local;РИСК ДЕПАРТАМЕНТ;Анна Смирнова;45;20;yes;no;no;exploit;13;Подозрительный исполняемый файл на рабочей станции;Detected repeated activity on crm-app-01.bank.local. Business unit: РИСК ДЕПАРТАМЕНТ. Similar pattern was observed earlier this week.
INC-20260565;13.04.2026 09:18:00;;anomalous_traffic;critical;new;EDR;DB_RISK_PROD_02;Operations;;;30;no;no;yes;insider;21;NDR detected unusual network flow;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260566;2026/04/30 13:05;2026-04-30 14:20;data_exfiltration;high;resolved;DLP;prd-k8s-node-07;Финансовый департамент;Елена Крылова;75;120;no;no;no;insider;5;Large outbound transfer detected;Сработало правило корреляции. Актив prd-k8s-node-07, подразделение Финансовый департамент. Требуется проверка ложного срабатывания.
INC-20260567;2026-04-28 21:05;2026-04-28 22:20:00;data_exfiltration;low;contained;SIEM;dlp-sensor-msk-01;Опер. блок;Елена Крылова;75;1440;no;no;no;insider;2;Возможная выгрузка чувствительных данных;Alert triggered by SIEM. Asset dlp-sensor-msk-01 generated 2 IOC events. Requires analyst validation.
INC-20260568;2026-05-04 01:49;2026-05-04T08:19:00+00:00;malware_detected;medium;contained;DLP;srv-core-pay-01;Опер. блок;Дмитрий Волков;390;240;yes;no;no;credential_theft;34;Malware alert on workstation;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260569;2026-04-21 01:43:00;2026-04-21 02:28;data_exfiltration;high;false_positive;NDR;dlp-sensor-msk-01;ИТ эксплуатация;Елена Крылова;45;60;no;yes;no;insider;13;Возможная выгрузка чувствительных данных;Potential incident from insider. Need correlation with IAM logs and endpoint telemetry.
INC-20260570;2026-04-19T22:18:00+00:00;;suspicious_login;high;resolved;SIEM;ws-fin-1045;Операционный блок;Иван Петров;;180;no;no;no;brute_force;1;Подозрительный вход в учетную запись;Detected repeated activity on ws-fin-1045. Business unit: Операционный блок. Similar pattern was observed earlier this week.
INC-20260571;2026-05-08 22:05;2026-05-09 00:15;anomalous_traffic;low;resolved;IAM;WS-FIN-1045;Опер. блок;Анна Смирнова;130;1440;no;no;no;credential_theft;2;Anomalous outbound traffic spike;Alert triggered by IAM. Asset WS-FIN-1045 generated 2 IOC events. Requires analyst validation.
INC-20260572;04/18/2026 03:49 PM;2026-04-19 18:29;data_exfiltration;critical;resolved;SIEM;SRV-CORE-PAY-01;Finance;Sergey Unknown;1600;1500;yes;no;yes;malware;13;Возможная выгрузка чувствительных данных;Alert triggered by SIEM. Asset SRV-CORE-PAY-01 generated 13 IOC events. Requires analyst validation.
INC-20260573;2026-04-14 15:55;2026-04-14T16:20:00+03:00;anomalous_traffic;high;resolved;NDR;srv-core-pay-01;Розничный бизнес;Дмитрий Волков;25;180;no;no;no;malware;8;Anomalous outbound traffic spike;Сработало правило корреляции. Актив srv-core-pay-01, подразделение Розничный бизнес. Требуется проверка ложного срабатывания.
INC-20260574;2026-04-29 22:18;2026-04-29 22:30;data_exfiltration;low;resolved;SIEM;mail-gw-02;ИТ эксплуатация;Елена Крылова;12;720;no;no;no;phishing;3;Large outbound transfer detected;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260575;2026-04-21T02:05:00+03:00;2026/04/21 02:17;privilege_escalation;low;false_positive;IAM;DB_RISK_PROD_02;Опер. блок;Анна Смирнова;12;960;no;yes;no;malware;2;Unexpected admin privilege assignment;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260576;2026-05-12 10:05;12.05.2026 14:05:00;data_exfiltration;high;resolved;SIEM;cloud-vm-risk-eu-01;ИТ эксплуатация;Ivan Petrov;240;60;yes;no;yes;malware;13;Возможная выгрузка чувствительных данных;Alert triggered by SIEM. Asset cloud-vm-risk-eu-01 generated 13 IOC events. Requires analyst validation.
INC-20260577;2026/04/10 08:30;;suspicious_login;medium;new;NDR;10.15.24.88;Опер. блок;Иван Петров;;480;no;no;no;brute_force;0;Multiple suspicious login attempts;Сработало правило корреляции. Актив 10.15.24.88, подразделение Опер. блок. Требуется проверка ложного срабатывания.
INC-20260578;07.05.2026 10:30:00;;brute_force_attack;medium;triage;SIEM;auth-gw-prod-01;Розничный бизнес;Елена Крылова;;240;no;no;no;phishing;34;Множественные неуспешные попытки входа;Potential incident from phishing. Need correlation with IAM logs and endpoint telemetry.
INC-20260579;2026-04-15 01:05;04/16/2026 03:45 AM;brute_force_attack;critical;resolved;IAM;ws-fin-1045;Operations;Sergey Unknown;1600;60;yes;no;yes;exploit;3;Repeated failed authentication;Potential incident from exploit. Need correlation with IAM logs and endpoint telemetry.
INC-20260580;2026-04-26T10:55:00+03:00;;anomalous_traffic;medium;resolved;SIEM;WS-FIN-1045;Комплаенс;Дмитрий Волков;;20;yes;no;no;credential_theft;1;NDR detected unusual network flow;Alert triggered by SIEM. Asset WS-FIN-1045 generated 1 IOC events. Requires analyst validation.
INC-20260581;04/21/2026 11:00 PM;2026-04-22 05:30;ransomware_activity;high;contained;IAM;srv-core-pay-01;Опер. блок;Sergey Unknown;390;180;yes;yes;yes;exploit;5;Potential ransomware behavior;Alert triggered by IAM. Asset srv-core-pay-01 generated 5 IOC events. Requires analyst validation.
INC-20260582;2026-04-19 01:05;;privilege_escalation;low;investigating;DLP;DB_RISK_PROD_02;ИТ эксплуатация;Иван Петров;;720;no;no;no;insider;34;Unexpected admin privilege assignment;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260583;2026-04-20 00:55;2026-04-20T07:25:00+03:00;data_exfiltration;low;resolved;NDR;prd-k8s-node-07;IT Operations;Dmitry Volkov;390;720;no;yes;no;insider;0;Large outbound transfer detected;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260584;2026-04-22T21:30:00+00:00;;privilege_escalation;medium;triage;DLP;WS-FIN-1045;РИСК ДЕПАРТАМЕНТ;Дмитрий Волков;;240;yes;yes;no;insider;0;Назначение повышенных прав вне процесса;Alert triggered by DLP. Asset WS-FIN-1045 generated 0 IOC events. Requires analyst validation.
INC-20260585;2026-04-25T08:05:00+03:00;2026-04-25 12:05:00;data_exfiltration;medium;resolved;DLP;auth-gw-prod-01;Опер. блок;Елена Крылова;240;360;no;yes;no;brute_force;21;Возможная выгрузка чувствительных данных;Potential incident from brute_force. Need correlation with IAM logs and endpoint telemetry.
INC-20260586;2026-04-29 02:05;;malware_detected;low;investigating;IAM;srv-core-pay-01;Risk Department;Анна Смирнова;;960;yes;yes;no;insider;13;EDR detected suspicious executable;Detected repeated activity on srv-core-pay-01. Business unit: Risk Department. Similar pattern was observed earlier this week.
INC-20260587;2026-05-08 13:05:00;2026-05-08 19:35;brute_force_attack;medium;resolved;EDR;10.15.24.88;Операционный блок;;390;240;yes;no;no;insider;1;Repeated failed authentication;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260588;2026/04/22 02:05;04/22/2026 03:25 PM;brute_force_attack;medium;false_positive;DLP;ws-fin-1045;Риск-департамент;Elena Kryllova;800;90;yes;yes;no;phishing;1;Repeated failed authentication;Alert triggered by DLP. Asset ws-fin-1045 generated 1 IOC events. Requires analyst validation.
INC-20260589;2026-04-21 08:49;21.04.2026 09:14:00;privilege_escalation;medium;resolved;DLP;10.15.24.88;Риск-департамент;Elena Kryllova;25;480;no;no;no;insider;34;Назначение повышенных прав вне процесса;Detected repeated activity on 10.15.24.88. Business unit: Риск-департамент. Similar pattern was observed earlier this week.
INC-20260590;04/30/2026 02:30 AM;;ransomware_activity;medium;triage;EDR;DB_RISK_PROD_02;Риск-департамент;Anna Smirnova;;480;yes;no;no;insider;21;Potential ransomware behavior;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260591;22.04.2026 02:43:00;;anomalous_traffic;high;triage;IAM;cloud-vm-risk-eu-01;Retail Banking;Мария Неизвестная;;120;no;no;no;insider;8;Нетипичный сетевой трафик;Alert triggered by IAM. Asset cloud-vm-risk-eu-01 generated 8 IOC events. Requires analyst validation.
INC-20260592;2026-05-07 21:30;2026-05-08 10:50;data_exfiltration;medium;resolved;SIEM;srv-core-pay-01;Compliance;Dmitry Volkov;800;480;yes;no;no;phishing;0;DLP detected possible data leak;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
